Jobs.JobName,PrintActions.Destination,Jobs.PrismaJobID,PrintActions.OriginalPages,PrintActions.Copies,datetimeTS,datetimeTE,TimeDifference
425370.SK_136_8_Y_N1_1881_0345.PDF,ProStream02,1779,29580,435,2024-04-05 10:01:00,2024-04-05 10:27:00,26.0
425370.SK_136_8_Y_N1_1881_0345.PDF,ProStream02,1779,29580,435,2024-04-05 10:36:00,2024-04-05 11:16:00,40.0
429697.SK_200_8_Y_N1_1811_0705.PDF,ProStream01,1784,81500,815,2024-04-05 11:04:00,2024-04-05 15:23:00,259.0
429741.SK_112_8_Y_N1_1881_0345.PDF,ProStream02,1780,24360,435,2024-04-05 11:13:00,2024-04-05 12:22:00,69.0
428798.SK_072_8_Y_N1_1881_0370.PDF,ProStream02,1781,16560,460,2024-04-05 12:19:00,2024-04-05 12:55:00,36.0
414342.SK_120_8_Y_N1_1881_0235.PDF,ProStream02,1782,18900,315,2024-04-05 12:52:00,2024-04-05 13:33:00,41.0
422500.SK_080_8_Y_N2_1881_0125.PDF,ProStream02,1785,8200,205,2024-04-05 13:54:00,2024-04-05 14:13:00,19.0
405562.SK_040_8_Y_N2_1881_0105.PDF,ProStream02,1786,3700,185,2024-04-05 14:10:00,2024-04-05 14:21:00,11.0
426226.SK_100_8_Y_N2_1881_0147.PDF,ProStream02,1787,11350,227,2024-04-05 14:18:00,2024-04-05 14:43:00,25.0
429005.SK_060_8_Y_N2_1881_0135.PDF,ProStream02,1788,6450,215,2024-04-05 14:40:00,2024-04-05 14:56:00,16.0
421751.SK_056_8_Y_N2_1881_0235.PDF,ProStream02,1789,8820,315,2024-04-05 14:53:00,2024-04-05 15:14:00,21.0
423076.SK_060_8_Y_N2_1881_0185.PDF,ProStream02,1790,7950,265,2024-04-05 15:11:00,2024-04-05 15:53:00,42.0
401794.SK_216_8_N_N1_1811_0225.PDF,ProStream01,1797,32940,305,2024-04-05 15:47:00,2024-04-05 17:33:00,106.0
428735.SK_052_8_Y_N2_1881_0110.PDF,ProStream02,1791,4940,190,2024-04-05 15:51:00,2024-04-05 16:03:00,12.0
417650.SK_064_8_Y_N2_1881_0185.PDF,ProStream02,1792,8480,265,2024-04-05 16:01:00,2024-04-05 16:20:00,19.0
425751.SK_072_8_Y_N2_1881_0090.PDF,ProStream02,1793,6120,170,2024-04-05 16:18:00,2024-04-05 16:33:00,15.0
418637.SK_052_8_Y_N2_1881_0185.PDF,ProStream02,1794,6890,265,2024-04-05 16:30:00,2024-04-05 16:46:00,16.0
428819.SK_040_8_Y_N2_1881_0135.PDF,ProStream02,1795,4300,215,2024-04-05 16:44:00,2024-04-05 16:55:00,11.0
428639.SK_072_8_Y_N2_1881_0145.PDF,ProStream02,1796,8100,225,2024-04-05 16:52:00,2024-04-05 17:11:00,19.0
412358.SK_080_8_Y_N1_1881_0345.PDF,ProStream02,1799,17400,435,2024-04-05 17:24:00,2024-04-05 18:02:00,38.0
407571.SK_256_8_Y_N1_1811_0490.PDF,ProStream01,1798,74240,580,2024-04-05 17:41:00,2024-04-05 21:13:00,212.0
412629.SK_056_8_Y_N1_1881_0340.PDF,ProStream02,1800,12040,430,2024-04-05 18:00:00,2024-04-05 18:27:00,27.0
416941.SK_160_8_Y_N1_1881_0365.PDF,ProStream02,1801,36400,455,2024-04-05 18:24:00,2024-04-05 20:00:00,96.0
417774.SK_064_8_Y_N1_1881_0310.PDF,ProStream02,1802,12800,400,2024-04-05 19:57:00,2024-04-05 20:25:00,28.0
306124.SK_100_8_Y_N1_1881_0105.PDF,ProStream02,1803,8750,175,2024-04-05 20:26:00,2024-04-05 20:46:00,20.0
412147.SK_176_8_Y_Y1_1881_0805.PDF,ProStream02,1804,80520,915,2024-04-05 20:58:00,2024-04-05 21:32:00,34.0
412147.SK_176_8_Y_Y1_1881_0805.PDF,ProStream02,1804,80520,915,2024-04-06 07:48:00,2024-04-06 07:49:00,1.0
412147.SK_176_8_Y_Y1_1881_0805.PDF,ProStream02,1804,80520,915,2024-04-06 07:55:00,2024-04-06 10:44:00,169.0
419899_SK_312_9_N_A1_2011_0755.PDF,ProStream01,1805,123240,790,2024-04-06 08:28:00,2024-04-06 12:21:00,233.0
428214.SK_080_8_Y_N1_1881_0235.PDF,ProStream02,1808,12600,315,2024-04-06 11:00:00,2024-04-06 11:29:00,29.0
316676.SK_056_8_Y_N1_1881_0110.PDF,ProStream02,1809,5320,190,2024-04-06 11:26:00,2024-04-06 11:39:00,13.0
429944.SK_056_8_Y_N1_1881_0295.PDF,ProStream02,1810,10220,365,2024-04-06 11:36:00,2024-04-06 12:00:00,24.0
421578.SK_136_8_Y_N1_1881_0780.PDF,ProStream02,1811,60520,890,2024-04-06 11:57:00,2024-04-06 14:19:00,142.0
419899_SK_312_9_N_A1_2011_0755.PDF,ProStream01,1805,123240,790,2024-04-06 13:39:00,2024-04-06 16:53:00,194.0
